Latitude,Longitude,LeadLevel,Month,SalesPrice,LoanAmount,CensusBlock,InService,DistToBoundary
42.898001,-83.598072,0,10,253000,253000,0.001,0,34048.96003
43.041529,-83.804883,0,67,253000,253000,0,0,16865.57111
43.019413,-83.787582,0,95,252889,252889,0,0,12370.6758
43.08738,-83.830882,0,184,251453,251453,0,0,26380.46733
42.910282,-83.712789,0,180,251114,251114,0.00075,0,14717.94078
42.898001,-83.598072,0,38,250000,250000,0.001,0,34048.96003
42.959051,-83.687614,0,179,250000,250000,0.001,0,6424.144102
43.086691,-83.751044,0,45,250000,250000,6.00E-04,0,6323.174315
43.054462,-83.822515,0.018622625,211,250000,250000,0,0,22621.93103
43.050523,-83.810847,0,145,250000,250000,0,0,19206.93349
43.050523,-83.810847,0,144,250000,250000,0,0,19206.93349
43.013919,-83.794799,0,74,250000,250000,0,0,14804.44902
43.021806,-83.793547,0,69,250000,250000,0,0,13760.0367
42.96709,-83.819882,0,65,250000,250000,0,0,12821.88837
43.022218,-83.787575,0,23,250000,250000,0,0,12159.67144
43.037477,-83.601477,0,49,250000,250000,0,0,7223.499677
43.039552,-83.602942,0,153,250000,250000,0,0,6414.655719
42.90518,-83.640552,0,40,249900,249900,0.006,0,28223.34996
42.996273,-83.719636,0,48,249900,249900,0.0058,1,2911.414031
42.897993,-83.598068,0,33,249900,249900,0.001,0,34052.05074
42.905968,-83.700393,0,73,249850,249850,0.00075,0,17823.41722
42.905968,-83.700393,0,66,249850,249850,0.00075,0,17823.41722
43.026319,-83.80415,0,100,249700,249700,0,0,16433.92536
43.01643,-83.671717,0,123,249500,249500,0.0045,1,8621.651994
42.912733,-83.712649,0,111,249435,249435,0.00075,0,13960.28797
43.03466,-83.787819,0,32,249075,249075,0,0,12078.07673
42.991435,-83.73201,0.014454724,205,249000,249000,0.024235955,1,271.0989261
42.899172,-83.598311,0,193,249000,249000,0.001,0,33637.38318
43.051946,-83.816827,0,69,249000,249000,0,0,20887.25049
43.041529,-83.804883,0,1,249000,249000,0,0,16865.57111
43.003075,-83.70981,0,59,248230,248230,0.006,1,5783.026866
43.025627,-83.8065,0,69,248200,248200,0,0,17071.34931
43.034386,-83.78782,0,31,248000,248000,0,0,12076.56352
42.888644,-83.595255,0,5,247900,247900,0.001,0,37454.76009
43.012664,-83.6722,0,148,247729,247729,0.003625,1,8106.210097
42.991755,-83.729302,0,83,247500,247500,0.002090909,1,998.2764313
42.912035,-83.712073,0.017051219,218,247500,247500,0.00075,0,14257.78691
43.032414,-83.787599,0.017638579,222,247000,247000,0,0,12029.07514
43.016961,-83.767172,0,22,247000,247000,0,0,7619.935352
42.907805,-83.71212,0,99,246500,246500,0.00075,0,15598.16077
42.933399,-83.574358,0,58,246500,246500,0,0,27579.55574
43.021536,-83.798659,0,115,245999,245999,0,0,15126.04262
43.068825,-83.65303,0,37,245884,245884,0.011965517,1,460.6809741
42.927695,-83.706198,0,3,245000,245000,0.069,0,11007.26119
42.99434,-83.720033,0,50,245000,245000,0.003333333,1,2203.139024
42.893065,-83.592544,0,155,245000,245000,0.001,0,36318.3963
43.038445,-83.815322,0,57,245000,245000,0,0,19497.19288
42.964616,-83.585845,0,12,245000,245000,0,0,17907.37911
43.026507,-83.808597,0,29,245000,245000,0,0,17620.61579
43.039896,-83.807116,0,54,245000,245000,0,0,17370.34402
43.06659,-83.792271,0,94,245000,245000,0,0,14669.57218
43.039896,-83.807116,0,4,244900,244900,0,0,17370.34402
43.021485,-83.667625,0,45,243893,243893,0.036794118,1,8708.522442
43.001106,-83.711384,0,82,243800,243800,0.005083333,1,4965.597677
43.049118,-83.730457,0.008430973,200,243800,243800,0.001956522,1,785.7745407
42.894352,-83.598982,0,112,243740,243740,0.001,0,35147.58494
43.083614,-83.75775,0,64,243713,243713,0.000666667,0,7181.231752
43.046776,-83.614234,0,154,243468,243468,0,0,2416.665111
42.906184,-83.640768,0.013654981,201,243000,243000,0.006,0,27853.09882
42.888434,-83.593983,0,135,243000,243000,0.001,0,37667.62497
43.04066,-83.805819,0,66,242900,242900,0,0,17064.12295
42.967403,-83.819408,0,76,242900,242900,0,0,12695.7707
42.905177,-83.637927,0,80,242750,242750,0.006,0,28320.61008
42.938295,-83.584125,0,114,242250,242250,0,0,24507.94803
43.169705,-83.745454,0,56,242000,242000,0.0025,0,33427.39126
43.147239,-83.798305,0,53,242000,242000,0,0,31501.10217
43.051202,-83.815455,0,17,242000,242000,0,0,20454.44083
43.026425,-83.801455,0,8,242000,242000,0,0,15712.48489
43.040298,-83.598135,0,82,241500,241500,0,0,7245.420159
43.014322,-83.796738,0,96,240364,240364,0,0,15245.62485
43.021485,-83.667625,0,37,240000,240000,0.036794118,1,8708.522442
42.9058,-83.637313,0,185,240000,240000,0.006,0,28121.28041
42.906337,-83.640305,0,66,240000,240000,0.006,0,27813.47185
43.033818,-83.778664,0,35,240000,240000,0.004,0,9627.644103
43.022232,-83.779722,0,86,240000,240000,0.002,0,10093.19206
43.025072,-83.778626,0,29,240000,240000,0.002,0,9649.140171
42.898001,-83.598072,0,70,240000,240000,0.001,0,34048.96003
42.905807,-83.7099,0,102,240000,240000,0.00075,0,16520.40615
43.069846,-83.641428,0.012402965,211,240000,240000,6.00E-04,0,2323.206995
43.085121,-83.834936,0,193,240000,240000,0,0,27324.93966
43.054572,-83.823319,0,52,240000,240000,0,0,22838.01106
43.024958,-83.804837,0.018733474,211,240000,240000,0,0,16640.04871
43.040561,-83.597687,0,32,240000,240000,0,0,7290.866798
42.905692,-83.639987,0,17,239900,239900,0.006,0,28057.59937
43.029023,-83.689013,0,73,239575,239575,0.00015625,1,10957.42208
42.995996,-83.72167,0.020983076,215,239000,239000,0.177666667,1,2787.94375
43.036079,-83.50814,0,96,239000,239000,0.006,0,30544.67415
42.894195,-83.597013,0.013289218,212,239000,239000,0.001,0,35422.27001
42.940947,-83.577286,0,78,239000,239000,0,0,25046.98908
43.037411,-83.814553,0,1,239000,239000,0,0,19263.98102
42.993067,-83.783211,0,116,238880,238880,0,0,8228.186625
43.005286,-83.706621,0,107,238611,238611,0.0168,1,6855.754261
42.896688,-83.600568,0,71,238500,238500,0.001,0,34196.63049
43.020916,-83.767131,0,68,238431,238431,0,0,6979.96181
42.996027,-83.722204,0,43,238000,238000,0.177666667,1,2793.2989
43.02489,-83.798703,0,33,238000,238000,0,0,15004.85391
